Tipo,Candidato_electo,Género,Partido,Porcentaje_de_votos,Participación_Ciudadana
Distrito 1,Gustavo Macías Zambrano,H,PAN,,
Distrito 2,José de Jesús Hurtado Torres,H,PAN,,
Distrito 3,Jorge Eduardo González Arana,H,PAN,,
Distrito 4,Edgar Enrique Velázquez González,H,PRD,,
Distrito 5,Luis Ernesto Munguía González,H,MC,,
Distrito 6,Mirza Flores Gómez,M,MC,,
Distrito 7,María Ester López Chávez,M,PT,,
Distrito 8,Héctor Alejandro Hermosillo González,H,MC,,
Distrito 9,Miriam Berenice Rivera Rodríguez,M,MC,,
Distrito 10,Esteban Estrada Ramírez,H,MC,,
Distrito 11,Arturo Lémus Herrea,H,MORENA,,
Distrito 12,Gerardo Quirino Velázquez Chávez,H,PRD,,
Distrito 13,Adenawer González Fierros,H,PAN,,
Distrito 14,Priscilla Franco Barba,M,MC,,
Distrito 15,Carlos Eduardo Sánchez Carrillo,H,PAN,,
Distrito 16,María Patricia Meza Núñez,M,MORENA,,
Distrito 17,J. Jesús Cabrera Jiménez,H,MC,,
Distrito 18,Irma de Anda Licea,M,PAN,,
Distrito 19,Ma. Elizabeth Alcaraz Virgen,M,MC,,
Distrito 20,Daniel Robles de León,H,MC,,
