Candidatura,Nombre,Partido,electo,url,twitter,facebook
Acatlán de Juárez,Alejandro Alvarado Toscano,FUERZA MÉXICO,,,,http://www.facebook.com/AlexAlvarado2021
Acatlán de Juárez,Erick Medina Siordia,HAGAMOS,,,,https://www.facebook.com/erickmedinasiordia
Acatlán de Juárez,Jaime Enrique Velasco López,MC,,,,
Acatlán de Juárez,Anel Judith López Aguilar,MORENA,,,,
Acatlán de Juárez,Ma Teresa Mojica Gómez,PAN,,,,
Acatlán de Juárez,Juan Carlos García Ibarra,PES,,,,
Acatlán de Juárez,Ivone Gudiño González,PRI,,,,
Acatlán de Juárez,Gloria Elizabeth González Dávalos,PVEM,,,,https://www.facebook.com/gloriaelizabeth.gonzalezdavaloas?fref=mentions
Acatlán de Juárez,Guadalupe Elizabeth López Medina,RSP,,,,
Ameca,Marco Antonio González Becerra,FUERZA MÉXICO,,,,
Ameca,Xóchitl Julieta Ruelas Ponce,FUTURO,,,,
Ameca,Victoria Mariscal Romero,HAGAMOS,,,,https://www.facebook.com/VickyMariscalAmeca/
Ameca,Juan Valentín Serrano Jimenez,MC,,,,https://www.facebook.com/juanvalentin.serranojimenez/
Ameca,Francisco Marin Jiménez,MORENA,,,,https://www.facebook.com/franciscomarinmorena/
Ameca,Anuar Tavera Romero,PAN,,,,https://www.facebook.com/AnuarTaveraAN/
Ameca,Andrés Rodríguez Flores,PES,,,,
Ameca,María de los Ángeles López Rosas,PRD,,,,
Ameca,Luis Arturo Meza Andalón,PRI,,,,https://www.facebook.com/Luis-Arturo-Meza-Andal%C3%B3n-100211905281375
Ameca,Edilberto Enriquez Parra,PVEM,,,,https://www.facebook.com/EdilbertoEnriquezP
Autlán de Navarro,Felipe Flores Gómez,FUERZA MÉXICO,,,,https://www.facebook.com/FelipeFlores0
Autlán de Navarro,Teresa Daniella Ramírez Gamiño,FUTURO,,,,https://www.facebook.com/DaniellaRamirezG
Autlán de Navarro,José Martín García de Alba Toscano,HAGAMOS,,,,https://www.facebook.com/profile.php?id=100057733534524
Autlán de Navarro,J Nicolás Ayala del Real,MC,,,,https://www.facebook.com/nicolas.ayaladelreal
Autlán de Navarro,Haidyd Arreola López,MORENA,,,,
Autlán de Navarro,Jaime Antonio Hernández Hernández,PAN,,,,
Autlán de Navarro,Daniel Juárez Álvarez,PES,,,,
Autlán de Navarro,Eva Judith Hueso Guerrero,PRD,,,,https://www.facebook.com/profile.php?id=100065494814845
Autlán de Navarro,Gustavo Salvador Robles Martínez,PRI,,,https://twitter.com/GustavoRoblesM?s=20,https://www.facebook.com/GustavoRoblesM
